timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
1748615901498,MOD1,13140,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901499,MOD1,13141,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901507,MOD1,13151,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901508,MOD1,13152,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901518,MOD1,13162,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901519,MOD1,13163,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901529,MOD1,13173,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901530,MOD1,13174,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901540,MOD1,13184,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901542,MOD1,13185,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901552,MOD1,13195,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901552,MOD1,13196,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901562,MOD1,13206,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901563,MOD1,13207,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901573,MOD1,13217,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901574,MOD1,13218,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901586,MOD1,13228,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901587,MOD1,13229,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901596,MOD1,13239,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901597,MOD1,13240,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901607,MOD1,13250,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901607,MOD1,13251,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901619,MOD1,13261,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901619,MOD1,13262,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901630,MOD1,13272,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901630,MOD1,13273,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901640,MOD1,13283,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901640,MOD1,13284,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901650,MOD1,13294,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901652,MOD1,13295,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901663,MOD1,13305,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901663,MOD1,13306,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901672,MOD1,13316,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901673,MOD1,13317,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901683,MOD1,13327,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901685,MOD1,13328,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901695,MOD1,13338,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901696,MOD1,13339,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901706,MOD1,13349,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901706,MOD1,13350,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901717,MOD1,13360,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901718,MOD1,13361,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901728,MOD1,13371,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901728,MOD1,13372,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901741,MOD1,13382,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901741,MOD1,13383,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901750,MOD1,13393,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901750,MOD1,13394,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901761,MOD1,13404,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901761,MOD1,13405,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901772,MOD1,13415,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901772,MOD1,13416,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901782,MOD1,13426,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901783,MOD1,13427,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901793,MOD1,13437,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901794,MOD1,13438,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901805,MOD1,13448,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901805,MOD1,13449,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901815,MOD1,13459,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901816,MOD1,13460,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901827,MOD1,13470,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901828,MOD1,13471,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901843,MOD1,13481,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901843,MOD1,13482,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901849,MOD1,13492,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901849,MOD1,13493,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901859,MOD1,13503,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901860,MOD1,13504,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901871,MOD1,13514,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901872,MOD1,13515,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901882,MOD1,13525,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901884,MOD1,13526,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901895,MOD1,13536,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901895,MOD1,13537,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901904,MOD1,13547,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901904,MOD1,13548,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901915,MOD1,13558,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901915,MOD1,13559,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901926,MOD1,13569,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901926,MOD1,13570,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901937,MOD1,13580,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901938,MOD1,13581,12,0.00,0.00,0.00,0.00,0.00,0.00
